Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ACE,1,76.2,252.5,252.5,176.3,231.36,1.79
APOLLOHOSP,6,3576.33,4899.05,29394.3,7936.3,36.99,0.16
AUROPHARMA,121,790.79,726.35,87888.35,-7796.65,-8.15,1.95
BAJFINANCE,9,5942.4,7810.6,70295.4,16813.8,31.44,4.94
BANCOINDIA,100,147,198.5,19850,5150,35.03,-1.1
BATAINDIA,11,1613.36,1771.6,19487.6,1740.6,9.81,0.75
BRITANNIA-N2,96,0,31,2976,2976,0,0
BIOCON,108,396.19,367.05,39641.4,-3147.6,-7.36,1.82
BPCL,11,447.71,413.8,4551.8,-373.04,-7.57,-1.57
COLPAL,21,1632.67,1732.45,36381.45,2095.45,6.11,0.33
CONTI-SM,36667,21.65,7.2,264002.4,-529841.71,-66.74,1.41
CRISIL,5,2370.8,2877.2,14386,2532,21.36,-0.04
DABUR,100,513,651.3,65130,13830,26.96,0.88
DMART,75,1440.22,4367.1,327532.5,219515.89,203.22,0.11
EQUITAS,100,124,118.65,11865,-535,-4.31,-0.75
ESCORTS,50,1344,1474.85,73742.5,6542.5,9.74,2.46
EXIDEIND,39,169.15,178.4,6957.6,360.6,5.47,-1
GLAXO,1,1514.95,1507.25,1507.25,-7.7,-0.51,0.12
GLOBAL,220,56.55,45,9900,-2540,-20.42,-1.21
GLOBUSSPR-BE,20,703,1315.35,26307,12247,87.11,5
HCLTECH,51,952.1,1299.5,66274.5,17717.3,36.49,1.83
IBULHSGFIN,110,229.95,208.5,22935,-2360,-9.33,-3.41
INDHOTEL,101,141.07,164.35,16599.35,2351.35,16.5,1.95
INFY,12,1166.63,1717.7,20612.4,6612.9,47.24,1.77
JCHAC,10,2196,2195,21950,-10,-0.05,0.25
JSWSTEEL,40,688,669.2,26768,-752,-2.73,5.49
JUBLFOOD,2,3135.5,4135.35,8270.7,1999.7,31.89,1.27
MARICO,3,519.33,560.7,1682.1,124.1,7.97,-1.19
NAUKRI,22,3544.16,6720.2,147844.4,69872.95,89.61,-0.19
NELCO,1,374,562.4,562.4,188.4,50.37,4.99
NESTLEIND,10,15372.7,20189.55,201895.5,48168.5,31.33,-0.65
NLCINDIA,150,53.2,54.1,8115,135,1.69,-1.9
OFSS,13,3281.44,4679,60827,18168.31,42.59,0.16
PETRONET,100,222,231.45,23145,945,4.26,1.34
PFIZER,0,5283,5785.25,0,0,9.51,0.34
PNBGILTS,699,70.27,65.8,45994.2,-3127.7,-6.37,0
SONATSOFTW,150,691.35,870.3,130545,26842.5,25.88,-0.92
SYMPHONY,38,961.05,1007.05,38267.9,1747.9,4.79,-0.39
TATACHEM,30,720,802.2,24066,2466,11.42,0.28
TATACOFFEE,88,195.4,202.65,17833.2,637.7,3.71,0.15
TATACONSUM,1,761,859.25,859.25,98.25,12.91,0.17
TATAELXSI,1,4314,5618.4,5618.4,1304.4,30.24,-3.69
TATAMETALI,30,1186.4,970,29100,-6492,-18.24,0.38
TATAMOTORS,301,296.93,301.85,90856.85,1482.05,1.66,0.94
TATAPOWER,251,129.77,135.85,34098.35,1526.35,4.69,1.04
TATASTEEL,32,1430.69,1292,41344,-4438,-9.69,3.08
TATASTLLP,13,893.46,847.75,11020.75,-594.25,-5.12,-2.55
TCS,14,2973,3862.95,54081.3,12459.3,29.93,1.03
THYROCARE,3,1337.33,1269.4,3808.2,-203.8,-5.08,0.85
TITAN,1,1732,2086.15,2086.15,354.15,20.45,0.4
TRENT,6,892.33,987.15,5922.9,568.9,10.63,0.82
VOLTAS,61,1022.85,1224.9,74718.9,12324.9,19.75,0.31
WHIRLPOOL,30,2081,2251.5,67545,5115,8.19,-1.68
WIPRO,111,441.62,667.3,74070.3,25050.77,51.1,0.72
YESBANK,4563,11.84,13,59319,5270.5,9.75,1.56
